feature,mean_abs_shap,mean_shap,std_shap
acc_open_past_24mths,0.0012649615736138678,-0.0001878260623800243,0.0015959068339696475
mo_sin_rcnt_tl,0.0009508180976666672,0.0003105937299927409,0.0014538751765022495
total_bal_il,0.0007599802220383474,-0.00034424505691120017,0.0013403588487268243
mo_sin_rcnt_rev_tl_op,0.0006073075383938699,0.00019338783463562415,0.000816922367079243
tot_coll_amt,0.0005284790076065457,-0.0002751348848366618,0.0024066624433646804
funded_to_loan_ratio,1.9315697805590296e-18,1.9315697805590296e-18,0.0
delinq_amnt,5.452591002887232e-19,5.452591002887232e-19,0.0
num_tl_120dpd_2m,7.160344902144512e-20,-7.160344902144512e-20,1.2037062152420224e-35
fico_range,6.514835873193535e-20,-6.514835873193535e-20,1.2037062152420224e-35
policy_code,0.0,0.0,0.0
